asm_area_code,customer_code,Year,Month,unique_retailers,invoice_count
BENGS,768,2012,11,559,1021
NER,1956,2011,9,25,40
GUJAN,470,2011,7,808,1853
NER,390,2013,1,146,231
JHAR,345,2012,6,284,674
JHAR,1766,2012,1,90,266
EASTM,1877,2013,12,280,714
BIHAW,1853,2011,7,191,349
ORIS,1436,2012,1,530,1146
BIHAE,1024,2012,7,334,473
PUNJ,958,2013,11,141,347
VIJA,45,2013,10,347,1198
ORIS,883,2013,2,432,877
BENGN,1008,2012,5,167,482
GUJAS,1601,2012,12,168,565
BENGS,5,2013,4,884,2199
RAJA,1228,2011,10,246,453
EASTM,554,2013,4,275,676
BENGN,638,2011,9,158,553
MUMB2,299,2011,6,1182,3593
COIM,1223,2011,12,489,879
MUMB2,482,2012,5,785,1639
GUJAS,289,2012,7,230,588
EASTM,554,2013,11,282,1234
PUNJ,230,2011,12,89,150
PUNEN,2520,2013,4,76,179
RAJA,1939,2011,8,1066,2363
WESTU,1027,2011,9,346,814
GUJAS,138,2011,11,698,1283
EASTM,69,2012,1,192,378
WESTU,2190,2013,4,173,449
GUJAS,289,2013,5,233,606
GUJAN,2349,2013,10,189,383
PUNJ,233,2012,10,262,471
HARY&,2337,2013,12,80,102
COIM,285,2013,11,455,831
RAJA,2176,2013,4,208,476
PUNEN,1665,2013,7,1613,4129
VIJA,455,2011,10,466,826
PUNJ,419,2013,6,221,677
ORIS,12,2012,6,133,226
BIHAW,29,2011,10,838,2031
NAGP,2322,2013,4,348,627
HARY&,2486,2013,2,322,626
WESTM,263,2011,4,208,369
ORIS,1359,2013,8,384,565
RAJA,115,2012,3,210,307
JHAR,31,2011,5,296,450
BIHAW,1872,2012,10,172,351
DELHM,1174,2011,11,1381,3463
CHEN,1428,2013,7,759,1476
NER,243,2012,6,242,676
PUNEN,77,2012,12,1269,3144
PUNES,1067,2012,11,486,905
ORIS,748,2012,12,191,408
RAJA,2028,2011,12,158,337
VIJA,455,2012,9,491,836
CENTU,2062,2012,3,86,147
NAGP,2024,2012,5,311,373
EASTM,267,2013,11,269,936
BIHAE,1024,2012,9,342,613
HYDE2,1726,2012,4,492,1232
CENTU,1222,2013,11,1660,2830
COIM,163,2012,9,482,1069
HUBL,2127,2013,7,302,689
EASTU,277,2012,3,233,240
HYDE2,187,2012,3,182,351
PUNES,2235,2012,7,1,1
PUNEN,1575,2013,4,135,346
JHAR,8,2013,4,1017,3668
GUJAS,607,2012,3,174,439
RAJA,1523,2013,12,686,1648
MUMB2,482,2013,2,743,1534
BIHAW,29,2013,12,1391,3742
MUMB2,300,2011,11,990,2169
ORIS,9,2012,2,228,434
JHAR,1766,2012,11,66,199
EASTM,261,2012,11,130,276
JHAR,1766,2011,6,85,276
WESTU,1713,2012,1,28,29
HYDE2,1337,2011,10,117,216
PUNEN,80,2013,9,86,158
BENGS,1357,2013,8,223,762
VIJA,446,2011,4,119,305
BANG,2505,2013,11,576,1437
WESTM,262,2011,11,163,419
BIHAW,2307,2013,5,200,578
MUMB1,1677,2012,2,81,16858
CENTU,967,2011,4,547,1374
EASTM,70,2013,12,468,1306
HYDE2,422,2012,5,413,908
GUJAS,997,2012,8,139,338
VIJA,48,2013,10,127,219
MUMB2,299,2011,10,1344,4128
HYDE2,363,2013,9,172,715
HARY&,1738,2012,7,309,542
HARY&,2748,2013,11,767,1678
HUBL,976,2013,7,514,1444
BIHAW,32,2011,6,217,283
CENTU,280,2012,12,265,452
HUBL,2199,2012,12,504,1106
NAGP,89,2011,11,145,306
VIJA,860,2011,12,70,169
BENGN,802,2011,5,261,695
ORIS,13,2012,4,149,322
BIHAE,803,2012,12,152,328
PUNES,2321,2012,11,79,220
ORIS,1566,2013,5,802,1835
HARY&,424,2013,10,503,1581
PUNEN,960,2013,6,205,470
WESTU,1936,2013,9,199,653
VIJA,1390,2012,3,95,201
EASTM,1929,2013,1,209,423
NAGP,2177,2013,2,301,572
VIJA,44,2012,11,364,572
BENGN,24,2011,4,136,179
RAJA,1806,2012,12,205,478
WESTU,167,2012,11,417,554
DELHM,591,2012,4,1219,3047
PUNEN,448,2011,9,982,2468
BIHAW,2307,2012,12,184,447
MUMB2,532,2012,2,1137,3957
PUNEN,79,2012,8,467,623
BANG,147,2013,8,2085,4919
HARY&,1722,2012,11,294,534
CENTU,1139,2011,12,254,469
VIJA,1089,2013,4,131,307
PUNEN,1199,2013,6,210,665
JHAR,31,2012,2,252,359
HUBL,2327,2012,9,52,64
GUJAN,1804,2012,1,1400,2871
WESTM,1098,2011,6,261,443
BENGN,1008,2013,6,167,513
BENGN,25,2012,7,364,596
MUMB2,456,2011,5,58,109
EASTM,71,2012,6,379,875
PUNEN,2363,2013,7,100,134
HYDE2,2339,2013,1,153,450
HARY&,2748,2013,10,655,1466
CENTU,1235,2012,8,288,546
GUJAS,399,2011,9,120,408
VIJA,553,2012,3,118,182
HARY&,68,2012,6,179,372
PUNJ,238,2013,6,194,431
KOLK,1849,2012,12,2091,4316
HARY&,1534,2011,10,360,1033
MUMB2,1489,2012,2,455,1077
BENGS,23,2013,6,439,1371
EASTM,1649,2013,2,302,1062
GUJAN,1321,2011,10,724,1570
PUNJ,238,2012,8,196,445
DELHM,1481,2011,12,1228,2522
PUNJ,1823,2011,12,719,1658
ORIS,883,2012,4,477,1102
HYDE1,1021,2013,2,5612,9770
HYDE2,1726,2013,11,508,1687
MUMB2,1878,2011,7,1537,4076
GUJAS,997,2013,7,148,363
BENGN,25,2013,3,404,954
HARY&,65,2011,5,202,872
EASTU,278,2013,8,57,125
CHEN,105,2012,10,168,354
WESTU,846,2011,12,178,279
HUBL,180,2011,5,696,1583
BENGN,1227,2012,11,249,1126
HYDE2,1077,2012,12,180,552
ORIS,1590,2011,6,159,310
EASTM,75,2013,2,146,353
KOLK,1281,2012,3,1077,1762
PUNJ,236,2013,2,252,420
HARY&,334,2011,5,177,313
PUNEN,1690,2011,12,817,2810
RAJA,128,2011,4,115,216
PUNES,1608,2012,4,367,1001
BENGN,1854,2013,3,248,933
RAJA,1939,2013,5,1784,3455
NAGP,97,2012,6,841,1491
HYDE2,869,2011,8,710,1568
GUJAN,1574,2012,4,1,1
PUNES,530,2012,2,855,1569
EASTM,1649,2011,6,316,928
MUMB2,300,2012,2,1301,2418
HYDE2,250,2013,3,130,457
BIHAW,1365,2011,4,1097,2120
PUNES,327,2011,7,114,217
VIJA,1893,2011,5,90,297
VIJA,354,2012,10,139,330
PUNES,1238,2013,12,403,1176
NAGP,96,2013,5,380,1182
ORIS,1590,2013,7,160,461
HARY&,2365,2013,2,170,430
BIHAW,566,2012,3,115,188
HYDE2,1381,2013,10,758,2940
EASTU,276,2012,6,212,602
JHAR,360,2011,8,604,1200
CENTU,280,2012,2,201,365
PUNJ,235,2012,11,68,101
WESTU,846,2013,10,266,463
VIJA,1391,2013,8,222,676
RAJA,121,2013,1,227,463
PUNEN,2532,2013,7,140,188
HARY&,62,2011,9,205,467
HYDE2,1130,2012,10,358,986
VIJA,2531,2013,8,100,288
VIJA,455,2013,2,482,1218
BENGS,19,2011,12,151,605
GUJAN,636,2013,2,1291,2683
WESTU,729,2013,9,750,2359
RAJA,1523,2012,7,594,1199
HUBL,178,2013,8,306,1204
JHAR,550,2012,3,109,320
MUMB2,300,2011,8,1131,2074
ORIS,356,2011,8,215,526
CENTU,967,2012,10,843,1487
ORIS,11,2013,9,243,1040
VIJA,2144,2013,8,509,1464
PUNEN,1896,2013,10,558,1414
PUNES,1579,2012,7,677,1518
VIJA,1530,2011,10,810,1746
NAGP,97,2012,12,843,1599
VIJA,50,2013,7,129,289
BIHAE,534,2012,8,179,492
BIHAE,539,2013,6,456,1367
CENTU,1996,2013,9,205,603
BIHAE,1676,2011,12,837,2593
PUNES,1666,2011,11,364,770
NAGP,96,2013,9,341,909
PUNJ,235,2011,4,92,247
ORIS,356,2012,11,183,382
VIJA,622,2013,1,145,348
CENTU,2002,2012,6,149,251
PUNES,2317,2012,11,180,227
HARY&,1205,2013,4,220,828
HYDE2,255,2013,3,169,480
HARY&,1205,2013,10,197,737
NAGP,95,2011,9,271,440
VIJA,1426,2011,5,761,1313
HARY&,2310,2013,12,262,690
HYDE2,1014,2012,1,142,414
BENGN,802,2011,12,286,726
BENGN,656,2012,7,118,347
ORIS,11,2013,5,243,1238
PUNES,1245,2012,12,165,740
WESTU,846,2013,4,266,584
ORIS,1590,2012,4,160,398
BENGS,343,2013,6,234,618
VIJA,45,2011,10,394,877
HYDE2,473,2013,4,102,405
PUNES,1067,2012,9,496,1029
PUNEN,1198,2011,6,75,120
VIJA,2313,2012,10,91,304
BENGN,1227,2013,1,289,1329
KOLK,1817,2012,11,2900,5234
WESTU,1936,2012,5,190,576
PUNJ,302,2013,12,166,622
JHAR,8,2011,7,1033,4085
GUJAS,135,2013,5,381,894
CHEN,595,2012,10,437,926
WESTU,1915,2013,7,87,133
NAGP,87,2013,7,234,682
NAGP,1062,2011,9,933,1988
ORIS,883,2012,12,378,821
EASTU,283,2012,1,230,693
BENGS,343,2011,6,229,388
NAGP,1090,2013,9,1346,3646
BIHAW,1986,2012,8,1920,3153
ORIS,1730,2011,4,1000,2520
HARY&,60,2011,10,247,471
BIHAW,1986,2013,2,2320,4215
CHEN,2069,2013,10,567,1301
PUNES,1244,2011,6,114,229
HUBL,1621,2011,6,960,2079
RAJA,120,2011,8,491,1149
COIM,1170,2011,9,135,297
WESTM,2461,2013,12,616,1722
COIM,1303,2012,11,382,1049
WESTU,775,2013,9,85,264
NER,1840,2013,6,206,330
NER,243,2013,4,271,904
PUNEN,77,2013,10,1019,2326
BENGS,1257,2013,11,238,688
BIHAW,469,2011,9,204,351
PUNES,291,2012,5,32,32
CENTU,2666,2013,12,85,98
COIM,1038,2013,3,230,563
DELHM,1105,2013,5,551,1846
BENGN,25,2011,9,391,621
NER,1883,2013,11,160,231
JHAR,540,2011,8,121,203
NER,1897,2013,6,167,614
HYDE2,1653,2012,6,573,827
CENTU,2656,2013,8,56,91
RAJA,1228,2011,7,220,359
EASTM,1877,2013,10,265,544
KOLK,1912,2011,10,605,746
ORIS,356,2013,9,167,367
WESTU,1027,2012,4,383,1024
HARY&,59,2011,9,191,278
BIHAW,1411,2012,7,134,261
RAJA,114,2012,8,1313,2493
VIJA,1530,2012,4,858,1984
GUJAS,138,2012,10,896,2076
BIHAW,547,2013,6,160,589
BIHAE,803,2013,3,170,337
VIJA,1530,2013,2,909,2587
NAGP,764,2013,10,206,505
BIHAE,1676,2012,9,875,1891
BANG,1756,2012,9,678,1112
DELHM,1596,2012,4,1830,3024
BIHAW,1960,2011,7,4,4
MUMB2,300,2013,9,1018,2495
ORIS,12,2013,4,135,448
CENTU,170,2013,9,212,555
PUNEN,332,2013,6,109,313
JHAR,395,2013,11,314,1420
PUNEN,1023,2012,12,452,1281
VIJA,1094,2013,6,328,979
PUNES,1744,2011,6,180,331
JHAR,8,2011,10,1020,3811
PUNES,1122,2012,8,176,321
PUNEN,960,2012,5,185,387
PUNEN,1419,2013,6,92,181
PUNJ,1147,2012,1,73,124
HARY&,1534,2013,5,483,1529
PUNEN,1213,2011,11,92,171
VIJA,42,2013,11,200,660
KOLK,1439,2013,4,967,1877
BENGS,1257,2013,5,221,771
CENTU,2034,2012,5,186,220
PUNEN,79,2013,9,370,858
BIHAW,32,2013,9,216,702
PUNJ,236,2013,1,330,542
HARY&,1209,2012,1,335,521
CENTU,279,2011,6,209,281
EASTM,73,2012,8,417,1054
WESTU,1915,2011,5,109,141
NER,390,2012,8,146,232
HYDE1,1176,2012,9,125,494
BIHAW,1986,2011,11,599,1098
PUNJ,1548,2013,9,641,1408
COIM,1249,2013,10,801,1503
PUNJ,233,2011,8,191,418
PUNJ,1683,2011,12,285,586
HARY&,62,2011,11,208,484
WESTU,2115,2013,10,584,885
CENTU,369,2011,12,523,910
GUJAS,607,2013,6,197,528
MUMB2,1298,2011,11,2934,6001
PUNEN,331,2012,12,168,325
WESTU,1027,2011,5,354,776
CHEN,2069,2011,11,401,689
MUMB2,299,2012,4,1365,4341
JHAR,1634,2011,12,533,1285
GUJAN,1574,2012,8,767,1811
EASTM,554,2012,10,204,337
EASTM,1877,2011,9,291,615
EASTM,1929,2013,12,208,598
PUNEN,743,2011,5,263,714
PUNJ,600,2011,10,607,1053
EASTU,1042,2012,2,1777,2126
WESTU,2190,2012,5,31,36
JHAR,798,2011,4,627,1633
BENGN,638,2013,6,154,469
GUJAS,289,2012,1,224,688
HARY&,393,2013,2,1333,2862
PUNJ,419,2012,9,225,591
BANG,1154,2012,10,385,982
BIHAW,1411,2013,7,130,372
BENGN,21,2011,12,159,313
VIJA,1893,2013,9,100,284
DELHM,1174,2013,1,2051,4176
BENGS,22,2013,2,599,2153
DELHM,526,2011,9,2346,3887
MUMB1,1677,2013,5,71,385
GUJAS,1570,2011,6,1007,2121
CHEN,1068,2012,2,180,308
EASTM,593,2011,10,254,739
EASTM,335,2013,12,173,667
RAJA,115,2012,7,285,404
EASTU,2013,2012,9,49,52
NAGP,93,2013,12,400,1298
CHEN,1594,2011,11,73,117
WESTU,383,2013,9,354,1024
GUJAN,1268,2012,5,1155,3016
BENGS,5,2012,3,759,1916
VIJA,43,2011,5,94,109
PUNES,1343,2011,10,364,731
WESTU,2016,2013,10,160,561
KOLK,1824,2011,4,2351,5169
PUNJ,233,2012,5,270,516
PUNJ,1823,2011,10,752,1428
HYDE1,442,2011,7,70,163
EASTM,261,2012,2,124,451
BENGS,1257,2012,9,214,372
BIHAW,547,2012,5,160,280
PUNES,1067,2011,4,491,1201
WESTU,1437,2012,3,332,846
NAGP,98,2012,2,757,1563
ORIS,1436,2013,9,471,1187
BANG,1154,2013,4,654,1803
MUMB1,1243,2012,1,1286,5291
VIJA,2313,2013,1,118,370
BANG,2505,2013,2,227,257
CHEN,1863,2012,9,260,431
GUJAS,1006,2013,6,363,934
JHAR,541,2011,7,109,336
DELHM,1174,2012,8,1987,3808
PUNJ,236,2012,10,290,471
BANG,1369,2013,8,830,1767
PUNES,2321,2013,10,82,317
GUJAS,138,2011,4,876,2000
WESTM,2132,2013,10,339,807
GUJAN,137,2011,5,351,1008
BENGS,2,2012,8,913,1818
NER,1001,2013,11,190,560
HUBL,976,2013,10,510,1334
HUBL,181,2011,12,290,562
PUNEN,1200,2012,4,274,525
KOLK,2075,2012,5,1732,3123
NER,1897,2013,10,167,590
CENTU,2032,2013,10,171,373
CENTU,1903,2012,2,516,810
CENTU,280,2011,6,142,336
NER,1033,2013,4,37,39
GUJAS,1570,2012,9,989,2270
DELHM,1105,2012,4,600,1378
WESTM,1673,2011,6,347,615
VIJA,1089,2011,12,125,314
DELHM,1276,2013,5,199,388
GUJAS,997,2013,11,153,458
HARY&,424,2012,4,502,869
JHAR,550,2012,4,130,387
JHAR,8,2013,12,730,3037
BIHAW,1853,2011,6,138,297
CHEN,1428,2011,9,693,1381
VIJA,1390,2012,1,84,134
BIHAW,29,2011,7,873,2671
WESTU,1027,2011,10,378,835
JHAR,2408,2012,11,157,305
VIJA,455,2013,1,485,1227
PUNES,1072,2013,2,299,745
CENTU,280,2012,1,255,436
PUNEN,1349,2011,9,122,242
MUMB2,294,2012,5,512,1232
HYDE2,252,2012,3,116,136
CENTU,280,2013,7,261,511
PUNJ,235,2011,8,157,360
VIJA,1089,2011,7,131,295
HUBL,450,2012,9,434,1009
PUNES,2192,2013,3,132,365
PUNEN,326,2013,2,121,257
VIJA,552,2013,11,154,372
GUJAN,2351,2013,9,349,930
GUJAN,132,2011,11,312,650
BIHAW,1411,2012,2,96,151
CENTU,2061,2013,11,206,467
EASTM,267,2012,12,237,494
HUBL,555,2012,5,314,677
JHAR,542,2012,1,65,140
DELHM,1591,2011,11,3170,5377
BENGS,2433,2013,2,160,233
BIHAE,1676,2012,4,838,2565
KOLK,1817,2013,10,2412,5913
WESTM,2358,2013,3,154,430
JHAR,1634,2013,2,524,985
WESTU,2015,2013,10,198,582
PUNES,291,2012,3,51,69
RAJA,120,2011,7,440,1054
MUMB1,1243,2011,6,1150,3567
EASTM,1733,2011,12,583,1497
ORIS,1927,2013,8,229,1049
PUNES,1122,2011,7,180,286
HUBL,2199,2012,7,422,877
HYDE1,1892,2012,7,2231,3669
BENGS,1257,2013,4,222,634
WESTU,1936,2011,11,142,280
ORIS,356,2013,1,202,414
NAGP,93,2011,9,353,811
WESTU,357,2011,5,450,901
BANG,1723,2013,6,2018,4031
WESTU,775,2013,6,1368,2065
NAGP,89,2012,3,216,269
WESTM,521,2013,9,1382,3123
BIHAE,1948,2012,4,159,305
VIJA,1390,2013,4,114,267
CHEN,1428,2013,6,699,1734
CENTU,325,2011,12,215,463
BENGS,23,2012,2,492,931
NAGP,2332,2013,4,226,522
VIJA,1674,2013,6,474,891
VIJA,43,2013,11,306,1317
KOLK,1439,2013,3,796,1288
JHAR,798,2013,10,1048,3264
VIJA,42,2011,10,197,510
HARY&,1567,2013,5,1235,3725
HYDE2,1304,2012,5,538,1137
NER,1886,2013,8,196,379
PUNEN,1826,2012,9,2366,6491
CENTU,967,2013,9,660,1057
HARY&,1534,2011,12,396,1131
CHEN,1916,2012,1,186,377
BANG,148,2011,12,101,314
MUMB2,294,2013,5,637,1727
WESTU,1713,2012,9,159,448
PUNEN,1575,2011,6,93,107
ORIS,1590,2012,11,160,291
ORIS,1566,2011,12,943,1425
HYDE1,1176,2012,3,125,410
CENTU,2366,2013,1,147,408
PUNEN,1347,2013,7,108,174
COIM,163,2013,4,427,930
GUJAS,1449,2013,2,502,1239
HYDE2,1562,2013,2,150,501
JHAR,2408,2013,11,208,597
ORIS,1436,2012,9,534,1017
NAGP,1062,2012,2,910,2525
CENTU,2035,2013,1,156,335
HARY&,334,2012,6,212,361
HYDE2,255,2013,2,171,447
VIJA,354,2012,1,125,325
PUNEN,1214,2011,7,759,1703
HYDE1,442,2012,7,71,140
BENGN,25,2011,10,376,658
CHEN,440,2012,11,487,871
NER,217,2012,10,324,887
GUJAN,1715,2013,4,351,776
BENGN,638,2012,2,150,487
EASTU,275,2013,7,288,800
BENGS,23,2013,7,435,1034
DELHM,2631,2013,8,4050,7989
HYDE2,1933,2011,11,737,1482
BENGS,1257,2011,9,210,345
BIHAE,534,2011,7,177,384
MUMB2,299,2013,3,1618,3489
ORIS,1566,2013,11,571,1068
WESTU,2074,2012,5,148,324
HUBL,181,2012,2,305,677
WESTM,266,2011,7,319,599
PUNEN,331,2013,7,167,227
CHEN,1780,2013,11,1044,2133
VIJA,1089,2012,5,134,284
WESTM,269,2011,10,96,162
BANG,145,2013,5,1121,2810
MUMB2,296,2012,1,876,2236
HARY&,62,2011,10,206,474
WESTU,1293,2013,3,325,381
EASTM,1822,2011,10,548,1477
BIHAW,469,2011,8,207,360
GUJAS,135,2012,3,291,659
EASTU,1042,2012,8,1899,2557
VIJA,1987,2013,11,708,1789
HARY&,2365,2013,1,181,463
PUNJ,608,2012,12,497,1134
GUJAN,1268,2012,12,1350,2976
HYDE2,1304,2011,8,474,1090
HARY&,1205,2013,5,221,1036
GUJAS,2352,2012,12,144,535
CENTU,2036,2012,7,219,281
VIJA,51,2011,5,140,327
PUNJ,1190,2012,6,1171,1679
HARY&,2337,2013,2,82,288
PUNEN,1575,2013,5,133,336
PUNEN,460,2013,11,944,2355
BANG,2465,2013,5,665,1611
PUNEN,1214,2013,9,720,1946
BIHAE,539,2013,3,435,1035
PUNES,2145,2013,3,845,2238
EASTU,1203,2011,10,1063,1680
HARY&,60,2011,11,217,468
WESTU,168,2013,10,168,487
HYDE1,1891,2011,8,1081,2934
COIM,163,2011,11,415,823
PUNEN,1896,2012,11,572,1342
NAGP,1036,2011,4,899,2166
PUNJ,232,2013,11,296,489
VIJA,622,2012,6,151,297
NER,559,2013,4,94,447
BANG,1146,2011,6,393,1067
EASTU,276,2011,6,214,451
COIM,862,2012,4,1448,2539
HYDE2,869,2011,6,766,1875
BIHAE,1954,2012,12,152,280
GUJAN,2390,2013,4,182,317
RAJA,126,2013,4,551,1270
HARY&,1567,2013,1,1139,2458
VIJA,372,2012,6,397,810
BENGN,24,2012,2,144,226
CENTU,1139,2011,7,246,322
GUJAN,1448,2011,11,643,1719
JHAR,540,2013,1,125,420
WESTU,1713,2011,8,152,458
RAJA,1939,2012,2,1190,2381
HYDE1,188,2013,10,69,179
HARY&,62,2011,6,180,450
BANG,2498,2013,2,128,179
HUBL,427,2013,1,235,816
CENTU,1903,2011,9,457,1025
CENTU,967,2011,5,736,1685
EASTU,284,2012,5,170,260
ORIS,883,2012,3,341,750
WESTU,834,2013,12,123,536
GUJAN,636,2013,9,790,1744
NAGP,89,2011,6,164,406
VIJA,622,2013,11,141,416
HYDE1,2282,2013,6,1159,1856
RAJA,113,2011,12,379,594
BENGN,620,2013,2,201,428
HYDE2,1593,2013,7,96,148
VIJA,1426,2012,8,981,1842
HUBL,370,2011,8,421,830
COIM,873,2013,9,195,443
PUNES,1238,2013,8,418,1053
HYDE2,1077,2011,4,184,595
COIM,160,2012,6,268,399
VIJA,45,2013,11,363,1252
ORIS,1730,2013,7,444,594
BIHAE,1948,2012,12,164,247
PUNEN,1845,2011,4,754,1716
CENTU,2032,2013,9,213,591
HUBL,555,2012,7,353,621
EASTM,1649,2013,11,617,2317
BANG,434,2012,10,492,1278
JHAR,2408,2013,5,232,494
BIHAE,1274,2013,9,103,323
BIHAW,1833,2013,3,100,111
CHEN,1428,2013,10,667,1384
JHAR,1051,2011,10,327,861
PUNEN,1214,2012,1,740,1988
NER,239,2012,5,88,138
PUNEN,2363,2012,11,84,126
VIJA,1893,2012,8,88,174
BENGN,538,2013,3,126,169
HYDE1,1282,2012,9,1091,1704
RAJA,115,2012,5,288,490
WESTU,2042,2012,5,2,3
RAJA,1523,2011,7,697,1363
VIJA,1089,2011,6,127,314
HYDE1,442,2011,5,72,193
HARY&,393,2012,5,1044,2139
MUMB2,1025,2013,3,217,570
BENGS,1257,2013,12,237,612
NER,1306,2012,6,681,1501
MUMB2,1489,2012,11,576,1173
CENTU,2366,2013,3,98,178
EASTM,613,2013,2,751,1185
PUNES,2324,2012,12,86,224
HARY&,2365,2012,10,49,55
HYDE2,1014,2011,9,145,427
RAJA,120,2012,10,498,1426
KOLK,1818,2013,1,1439,3756
WESTM,2401,2013,4,139,393
RAJA,1938,2012,8,184,370
BIHAE,534,2013,1,180,500
JHAR,1745,2013,1,323,1952
BENGN,24,2013,10,143,471
DELHM,1276,2013,3,188,281
ORIS,1436,2011,10,557,945
MUMB2,1603,2012,1,1801,4456
HUBL,963,2012,9,268,1001
WESTU,2671,2013,11,140,464
CHEN,2069,2012,9,593,969
WESTU,1293,2013,1,318,459
VIJA,2272,2013,2,1673,3278
VIJA,45,2011,6,395,856
VIJA,50,2011,6,131,244
HYDE2,1056,2012,10,162,299
BENGN,1008,2012,4,167,523
RAJA,2143,2012,11,233,597
DELHM,1809,2012,3,408,902
VIJA,359,2012,4,109,281
PUNES,2145,2012,6,896,2231
WESTM,264,2012,3,171,268
KOLK,1439,2013,1,1181,2275
RAJA,115,2013,12,236,430
HUBL,353,2012,4,243,306
HYDE2,1014,2013,4,146,551
DELHM,2253,2012,9,1897,3557
VIJA,1426,2013,7,856,1757
BENGS,18,2012,11,346,878
JHAR,395,2012,5,288,460
GUJAS,1143,2011,6,317,682
HYDE2,1422,2012,8,188,421
KOLK,1281,2012,9,1082,2367
MUMB2,213,2011,5,624,1540
CHEN,1068,2013,2,187,298
BENGS,1357,2011,6,179,480
HYDE2,2314,2013,7,211,480
NAGP,87,2011,9,229,385
WESTU,173,2011,4,400,1005
BENGN,802,2012,4,270,704
HUBL,1621,2013,2,651,1300
CHEN,440,2013,12,514,1109
EASTU,774,2012,11,164,285
BENGS,768,2013,8,588,1541
CENTU,2048,2013,10,33,33
PUNEN,1199,2012,4,210,279
WESTU,167,2013,9,693,1533
EASTM,267,2013,1,275,666
PUNES,1102,2013,1,237,701
WESTM,263,2013,8,215,674
HYDE2,1726,2013,6,495,1662
ORIS,748,2011,8,206,472
PUNES,530,2013,5,865,1803
WESTU,303,2013,8,229,713
ORIS,1927,2011,10,181,596
BANG,1369,2013,11,948,2174
VIJA,372,2013,9,435,1151
HYDE1,876,2011,8,2521,5923
WESTM,2132,2012,3,239,393
KERA,584,2013,10,146,168
HYDE2,1381,2012,1,700,1789
CHEN,1916,2012,3,150,316
EASTM,554,2012,1,278,660
MUMB2,213,2012,2,642,1840
NAGP,2332,2013,12,259,716
BENGS,2,2011,12,1026,3130
BIHAE,624,2011,12,268,504
BANG,2476,2013,5,139,316
HARY&,334,2011,12,182,271
HYDE2,1130,2013,9,315,686
GUJAS,607,2011,12,190,528
MUMB2,394,2012,7,3356,7958
CENTU,325,2013,1,218,508
GUJAS,2352,2012,11,129,268
PUNEN,1200,2012,10,232,415
MUMB2,1603,2012,5,2341,7146
HARY&,1534,2011,7,372,1008
WESTU,1915,2012,2,183,323
VIJA,42,2011,6,199,464
NAGP,1090,2013,3,1245,2618
CHEN,105,2012,7,162,323
EASTM,74,2012,10,186,586
HUBL,2597,2013,12,125,442
HYDE1,1021,2013,6,6041,13101
CENTU,1903,2011,5,523,1265
VIJA,446,2011,11,118,232
HUBL,731,2012,6,911,1856
HARY&,393,2012,1,846,1718
HUBL,1844,2013,9,301,909
BIHAW,1360,2011,12,615,1516
RAJA,2143,2013,5,343,1228
BENGS,768,2012,10,612,1109
GUJAN,1321,2011,7,584,1176
ORIS,1566,2011,7,943,1435
HUBL,731,2011,9,797,1359
HYDE2,257,2013,3,153,302
CHEN,1594,2012,9,657,1319
BENGN,802,2012,5,266,596
PUNJ,2106,2012,2,239,422
RAJA,129,2013,8,299,614
CENTU,280,2013,9,183,340
CENTU,645,2012,11,178,416
BIHAE,2628,2013,10,198,314
CHEN,1428,2013,11,735,1521
CHEN,315,2011,9,190,304
NAGP,86,2013,8,171,614
HYDE1,2282,2013,4,2455,4169
PUNJ,235,2011,7,139,318
PUNEN,2319,2012,11,109,201
GUJAN,1448,2013,5,547,1328
BANG,147,2012,8,1885,3759
BENGS,1295,2012,6,578,1358
BIHAW,2397,2013,1,112,187
PUNEN,1200,2012,11,190,331
WESTU,961,2013,12,900,1813
EASTM,69,2012,5,199,448
DELHM,1809,2013,6,693,2043
EASTU,275,2011,6,249,508
HYDE2,1130,2013,11,353,800
WESTU,2027,2013,2,157,282
WESTM,264,2013,6,212,910
HUBL,1431,2012,4,207,395
BIHAE,533,2012,5,448,1027
PUNJ,1524,2012,6,711,1901
MUMB2,394,2011,4,3447,10367
VIJA,552,2013,5,151,366
NER,1883,2012,3,48,59
WESTU,304,2012,11,91,180
VIJA,228,2013,1,75,126
CHEN,595,2012,4,425,979
PUNEN,2363,2013,9,141,342
HYDE2,255,2012,5,176,417
NAGP,2024,2013,6,333,836
PUNJ,608,2011,12,432,982
CENTU,967,2013,3,383,569
HYDE2,843,2011,7,181,549
EASTU,1203,2012,8,883,1413
MUMB2,482,2013,7,530,931
GUJAN,1321,2013,9,666,1433
NAGP,1036,2012,7,940,2671
BENGS,1950,2013,2,317,799
BENGS,2112,2013,6,478,1159
PUNES,2192,2013,11,153,540
GUJAS,336,2011,6,2,2
PUNJ,232,2012,10,207,266
HARY&,60,2012,11,233,458
NER,1855,2012,9,1027,1912
EASTU,282,2013,8,134,285
PUNJ,1524,2013,7,669,1660
EASTM,1733,2013,5,1039,3909
CHEN,108,2013,4,327,732
PUNEN,1171,2013,12,162,669
PUNEN,1665,2011,5,1082,2688
CHEN,108,2013,3,293,595
CENTU,2048,2013,5,121,142
JHAR,550,2011,5,131,276
MUMB2,1603,2012,12,2447,10180
HUBL,2315,2013,7,118,325
NAGP,1062,2013,10,1091,3668
ORIS,748,2013,6,203,542
WESTU,2596,2013,6,174,294
